Starting logging...
1. Solution: [0, 0][1, 4][2, 7][3, 5][4, 2][5, 6][6, 1][7, 3]
2. Solution: [0, 0][1, 5][2, 7][3, 2][4, 6][5, 3][6, 1][7, 4]
3. Solution: [0, 0][1, 6][2, 3][3, 5][4, 7][5, 1][6, 4][7, 2]
4. Solution: [0, 0][1, 6][2, 4][3, 7][4, 1][5, 3][6, 5][7, 2]
5. Solution: [0, 1][1, 3][2, 5][3, 7][4, 2][5, 0][6, 6][7, 4]
6. Solution: [0, 1][1, 4][2, 6][3, 0][4, 2][5, 7][6, 5][7, 3]
7. Solution: [0, 1][1, 4][2, 6][3, 3][4, 0][5, 7][6, 5][7, 2]
8. Solution: [0, 1][1, 5][2, 0][3, 6][4, 3][5, 7][6, 2][7, 4]
9. Solution: [0, 1][1, 5][2, 7][3, 2][4, 0][5, 3][6, 6][7, 4]
10. Solution: [0, 1][1, 6][2, 2][3, 5][4, 7][5, 4][6, 0][7, 3]
11. Solution: [0, 1][1, 6][2, 4][3, 7][4, 0][5, 3][6, 5][7, 2]
12. Solution: [0, 1][1, 7][2, 5][3, 0][4, 2][5, 4][6, 6][7, 3]
13. Solution: [0, 2][1, 0][2, 6][3, 4][4, 7][5, 1][6, 3][7, 5]
14. Solution: [0, 2][1, 4][2, 1][3, 7][4, 0][5, 6][6, 3][7, 5]
15. Solution: [0, 2][1, 4][2, 1][3, 7][4, 5][5, 3][6, 6][7, 0]
16. Solution: [0, 2][1, 4][2, 6][3, 0][4, 3][5, 1][6, 7][7, 5]
17. Solution: [0, 2][1, 4][2, 7][3, 3][4, 0][5, 6][6, 1][7, 5]
18. Solution: [0, 2][1, 5][2, 1][3, 4][4, 7][5, 0][6, 6][7, 3]
19. Solution: [0, 2][1, 5][2, 1][3, 6][4, 0][5, 3][6, 7][7, 4]
20. Solution: [0, 2][1, 5][2, 1][3, 6][4, 4][5, 0][6, 7][7, 3]
21. Solution: [0, 2][1, 5][2, 3][3, 0][4, 7][5, 4][6, 6][7, 1]
22. Solution: [0, 2][1, 5][2, 3][3, 1][4, 7][5, 4][6, 6][7, 0]
23. Solution: [0, 2][1, 5][2, 7][3, 0][4, 3][5, 6][6, 4][7, 1]
24. Solution: [0, 2][1, 5][2, 7][3, 0][4, 4][5, 6][6, 1][7, 3]
25. Solution: [0, 2][1, 5][2, 7][3, 1][4, 3][5, 0][6, 6][7, 4]
26. Solution: [0, 2][1, 6][2, 1][3, 7][4, 4][5, 0][6, 3][7, 5]
27. Solution: [0, 2][1, 6][2, 1][3, 7][4, 5][5, 3][6, 0][7, 4]
28. Solution: [0, 2][1, 7][2, 3][3, 6][4, 0][5, 5][6, 1][7, 4]
29. Solution: [0, 3][1, 0][2, 4][3, 7][4, 1][5, 6][6, 2][7, 5]
30. Solution: [0, 3][1, 0][2, 4][3, 7][4, 5][5, 2][6, 6][7, 1]
31. Solution: [0, 3][1, 1][2, 4][3, 7][4, 5][5, 0][6, 2][7, 6]
32. Solution: [0, 3][1, 1][2, 6][3, 2][4, 5][5, 7][6, 0][7, 4]
33. Solution: [0, 3][1, 1][2, 6][3, 2][4, 5][5, 7][6, 4][7, 0]
34. Solution: [0, 3][1, 1][2, 6][3, 4][4, 0][5, 7][6, 5][7, 2]
35. Solution: [0, 3][1, 1][2, 7][3, 4][4, 6][5, 0][6, 2][7, 5]
